Load Time (ms),Sample Time (ms),Sample Runs,Sample Throughput (tokens/second),Prefill Time (ms),Prefill Tokens,Prefill Throughput (tokens/second),Decode Time (ms),Decode Runs,Decode Throughput (tokens/second),Total Time (ms),Total Tokens,model
213.85,43.94,500,11378.64,213.75,9.0,42.11,45542.97,499.0,9.990000000000002,46824.81,508.0,Yi
213.85,43.31,500,11544.94,220.19,20.0,57.39125,45707.1,499.0,9.990000000000002,46925.55,519.0,Yi
213.85,44.09,500,11339.67,426.04,40.0,57.39125,46081.55,499.0,9.990000000000002,47499.77,539.0,Yi
213.85,44.77,500,11167.69,469.24,31.0,57.39125,45940.96,499.0,9.990000000000002,47417.12,530.0,Yi
213.85,44.76,500,11171.19,554.33,52.0,57.39125,46354.95,499.0,9.990000000000002,47890.42,551.0,Yi
213.85,47.23,500,10587.39,381.04,36.0,57.39125,46091.41,499.0,9.990000000000002,47498.31,535.0,Yi
213.85,44.71,500,11182.18,365.61,29.0,57.39125,45860.89,499.0,9.990000000000002,47251.19,528.0,Yi
213.85,44.43,500,11254.67,516.38,42.0,57.39125,46108.42,499.0,9.990000000000002,47597.58,541.0,Yi
213.85,45.61,500,10962.27,156.88,5.0,31.87,45362.16,499.0,9.990000000000002,46526.7,504.0,Yi
213.85,44.29,500,11290.25,556.14,42.0,57.39125,46134.77,499.0,9.990000000000002,47689.54,541.0,Yi
213.85,48.45,500,10319.28,254.87,7.0,27.47,45370.43,499.0,9.990000000000002,46699.61,506.0,Yi
213.85,43.55,500,11479.74,261.25,18.0,57.39125,45665.68,499.0,9.990000000000002,46892.51,517.0,Yi
213.85,46.64,500,10719.95,501.72,39.0,57.39125,46063.61,499.0,9.990000000000002,47594.18,538.0,Yi
213.85,46.98,500,10642.15,177.95,8.0,44.96,45464.9,499.0,9.990000000000002,46705.24,507.0,Yi
213.85,43.65,500,11455.28,266.43,10.0,37.53,45471.77,499.0,9.990000000000002,46705.64,509.0,Yi
213.85,45.11,500,11083.28,220.22,12.0,54.49,45493.28,499.0,9.990000000000002,46703.39,511.0,Yi
213.85,43.35,500,11533.76,525.88,42.0,57.39125,46123.44,499.0,9.990000000000002,47621.29,541.0,Yi
213.85,44.97,500,11118.03,308.56,11.0,35.65,45634.18,499.0,9.990000000000002,46949.46,510.0,Yi
213.85,48.35,500,10340.62,434.61,40.0,57.39125,46267.02,499.0,9.990000000000002,47780.23,539.0,Yi
213.85,49.27,500,10147.13,322.17,14.0,43.46,45706.92,499.0,9.990000000000002,47092.08,513.0,Yi
213.85,44.68,500,11190.69,279.94,24.0,57.39125,45995.35,499.0,9.990000000000002,47270.47,523.0,Yi
213.85,42.2,500,11848.06,164.68,16.0,57.39125,45732.05,499.0,9.990000000000002,46848.39,515.0,Yi
213.85,45.74,500,10930.63,295.41,18.0,57.39125,45835.08,499.0,9.990000000000002,47164.49,517.0,Yi
213.85,46.98,500,10641.69,310.5,11.0,35.43,45697.82,499.0,9.990000000000002,47057.19,510.0,Yi
213.85,45.44,500,11002.79,1796.44,73.0,57.39125,48687.38,499.0,9.990000000000002,51554.68,655.0,Yi
213.85,51.42,500,9723.84,270.39,24.0,57.39125,45929.21,499.0,9.990000000000002,47341.81,523.0,Yi
213.85,49.33,500,10136.23,534.63,52.0,57.39125,46505.29,499.0,9.990000000000002,48117.36,551.0,Yi
213.85,50.94,500,9816.43,327.81,25.0,57.39125,45935.85,499.0,9.990000000000002,47404.65,524.0,Yi
213.85,47.66,500,10491.2,273.83,13.0,47.47,45731.53,499.0,9.990000000000002,47065.22,512.0,Yi
213.85,48.74,500,10258.51,308.78,11.0,35.62,45712.62,499.0,9.990000000000002,47107.93,510.0,Yi
213.85,49.19,500,10163.84,4447.0372392574045,20.0,57.39125,45534.99,500.0,9.990000000000002,46625.23,500.0,Yi
213.85,49.76,500,10047.42,278.64,13.0,46.65,45757.4,499.0,9.990000000000002,47139.48,512.0,Yi
213.85,47.48,500,10531.86,683.88,65.0,57.39125,46842.83,499.0,9.990000000000002,48587.97,564.0,Yi
213.85,50.43,500,9914.34,364.75,23.0,57.39125,45874.83,499.0,9.990000000000002,47368.46,522.0,Yi
213.85,46.84,500,10675.09,261.58,10.0,38.23,45610.04,499.0,9.990000000000002,46921.48,509.0,Yi
213.85,45.76,500,10926.57,366.66,15.0,40.91,45807.62,499.0,9.990000000000002,47190.14,514.0,Yi
213.85,49.43,500,10115.31,335.14,25.0,57.39125,45936.4,499.0,9.990000000000002,47360.23,524.0,Yi
213.85,47.37,500,10554.31,271.73,24.0,57.39125,45994.54,499.0,9.990000000000002,47314.45,523.0,Yi
213.85,51.13,500,9778.61,270.14,10.0,37.02,45689.78,499.0,9.990000000000002,47076.48,509.0,Yi
213.85,47.2,500,10593.0,235.14,12.0,51.03,45733.64,499.0,9.990000000000002,47021.36,511.0,Yi
213.85,47.89,500,10440.16,348.37,19.0,54.54,45827.45,499.0,9.990000000000002,47249.92,518.0,Yi
213.85,51.86,500,9640.78,265.15,13.0,49.03,45666.09,499.0,9.990000000000002,47069.07,512.0,Yi
213.85,47.04,500,10629.48,364.72,26.0,57.39125,45994.75,499.0,9.990000000000002,47421.63,525.0,Yi
213.85,45.69,500,10942.83,258.28,18.0,57.39125,45879.33,499.0,9.990000000000002,47157.27,517.0,Yi
213.85,47.69,500,10483.72,322.53,14.0,43.41,45786.31,499.0,9.990000000000002,47156.41,513.0,Yi
